store_nbr,item_nbr,onpromotion,type,cluster,class,perishable,oil_price,transactions,year,month_num,day,weekday,lag_7,lag_30,roll_mean_7,roll_mean_30,Actual,Predicted
3,1967642,0,3,8,1044,0,37.74,2973.0,2016,4,6,6,3.0,11.0,11.0,8.166666666666666,19.0,8.914703126790778
3,114800,0,3,8,4126,0,29.45,3251.0,2016,1,15,0,14.0,10.0,8.285714285714286,11.8,9.0,9.305856691704419
2,1464034,0,3,13,1148,0,44.47,1600.0,2016,8,14,3,12.0,9.0,9.571428571428571,13.933333333333334,10.0,12.91604096473979
2,559494,0,3,13,2708,1,37.3,1790.0,2016,4,7,4,5.0,1.0,3.142857142857143,3.5,1.0,2.987088377368354
3,587156,0,3,8,3026,0,43.18,3048.0,2016,4,21,4,2.0,5.0,19.285714285714285,10.433333333333334,11.0,13.596752627522148
3,872309,0,3,8,1034,0,41.83,3161.0,2016,8,7,3,3.0,1.0,1.5714285714285714,1.6,2.0,2.069190407672988
1,1471913,0,3,13,6516,0,42.72,2073.0,2016,4,20,6,1.0,2.0,1.7142857142857142,1.7,1.0,1.8300520344581783
3,509872,0,3,8,1086,0,36.91,2822.0,2016,3,29,5,6.0,8.0,3.7142857142857144,4.1,4.0,3.4961476317429216
2,1259952,0,3,13,1030,0,46.72,2010.0,2016,11,26,2,1.0,2.0,1.5714285714285714,2.4,1.0,2.0501998346921013
3,122095,0,3,8,2124,1,39.91,2983.0,2016,3,21,1,7.0,11.0,7.285714285714286,7.433333333333334,7.0,6.9133900994741015
1,1071949,0,3,13,1120,0,43.39,1448.0,2016,11,12,2,2.0,3.0,4.571428571428571,5.633333333333334,5.0,5.2909705549872275
3,2010278,0,3,8,1032,0,49.76,3706.0,2016,10,8,2,2.0,1.0,2.4285714285714284,2.1666666666666665,4.0,2.663115226727046
3,177395,0,3,8,1032,0,39.74,3263.0,2016,4,8,0,8.0,16.0,6.285714285714286,5.833333333333333,9.0,5.918487932111473
2,1047772,0,3,13,1126,0,44.62,1747.0,2016,11,10,4,11.0,6.0,9.285714285714286,7.433333333333334,4.0,7.634971226193291
3,1178691,0,3,8,3020,0,44.36,3144.0,2016,9,23,0,9.0,8.0,7.428571428571429,7.233333333333333,14.0,6.901820288177017
1,127534,0,3,13,1032,0,48.67,1713.0,2016,10,4,5,1.0,2.0,1.7142857142857142,1.5333333333333334,4.0,2.276441494488844
2,1038945,0,3,13,2708,1,45.72,1789.0,2016,8,15,1,4.0,4.0,3.857142857142857,3.8,3.0,3.63907235805392
2,1304490,0,3,13,1026,0,47.48,1886.0,2016,11,21,1,1.0,1.0,1.1428571428571428,1.1666666666666667,1.0,1.894482655564042
3,754103,0,3,8,1072,0,44.58,3329.0,2016,5,8,3,17.0,6.0,2.7142857142857144,3.8,6.0,5.8248690283853515
4,265086,0,3,9,1124,0,46.72,1411.0,2016,11,25,0,10.0,7.0,7.142857142857143,8.1,7.0,7.386372842879386
4,583868,1,3,9,2302,1,49.02,1567.0,2016,7,1,0,7.537,6.264,4.341000000000002,3.9928,2.759,5.451577381698946
1,1421428,0,3,13,1124,0,43.41,501.0,2016,7,24,3,1.0,1.0,1.5714285714285714,1.8,2.0,1.913519882962052
3,1279049,1,3,8,2708,1,49.09,3433.0,2016,6,12,3,42.0,17.0,26.0,25.966666666666665,37.0,35.0702555525421
2,1696022,0,3,13,2026,1,48.07,1815.0,2016,11,22,5,10.0,10.0,8.428571428571429,9.166666666666666,3.0,8.42035488310083
2,318932,0,3,13,2644,1,46.81,1827.0,2016,8,17,6,11.0,5.0,4.857142857142857,6.0,3.0,5.017479940991875
3,938567,1,3,8,1042,0,33.29,2946.0,2016,1,7,4,2.0,4.0,11.0,7.466666666666667,6.0,9.270650825358013
1,1239789,0,3,13,2162,1,34.57,1914.0,2016,3,2,6,1.0,3.0,5.285714285714286,5.7,3.0,5.669985828918787
2,116018,0,3,13,1072,0,29.45,2153.0,2016,1,17,3,12.0,8.0,8.571428571428571,8.7,11.0,10.301825060781923
1,2010359,0,3,13,1068,0,43.96,1654.0,2016,7,21,4,2.0,1.0,2.857142857142857,2.8,2.0,2.606122312793805
1,1693647,0,3,13,2028,1,46.97,1631.0,2016,8,29,1,10.0,4.0,6.857142857142857,10.833333333333334,10.0,7.970837207906564
1,621300,0,3,13,1040,0,44.58,1486.0,2016,5,7,2,8.0,5.0,6.285714285714286,7.166666666666667,8.0,6.986305772990718
